Date,High,Low,Open,Close,Volume,Adj Close
2018-03-05,12072.532039282523,11898.340345056784,11902.607847587928,12058.642955227862,20663500,12058.642955227862
2018-03-06,12011.649108692436,11944.468161459852,11994.623083854282,11976.363932427097,220908900,11976.363932427097
2018-03-07,12056.545215872293,11948.195644670915,11960.243452115454,11948.967911013526,183071700,11948.967911013526
2018-03-08,12050.56528214784,11992.530854971203,12018.33225699337,12039.717782239051,173265200,12039.717782239051
2018-03-09,12095.74946129301,12021.463589915098,12081.946990548096,12079.465468814895,163811300,12079.465468814895
2018-03-12,12197.827154061184,12136.08942604394,12159.97260797056,12179.641514258185,152231100,12179.641514258185
2018-03-13,12232.735143372147,12169.972364675485,12195.43564261403,12184.222218797939,158921500,12184.222218797939
2018-03-14,12126.726994524579,12055.028748512184,12114.378456616401,12081.191760988173,167702100,12081.191760988173
2018-03-15,12148.93446793236,12077.208545480065,12112.338255441247,12098.98064165192,186611800,12098.98064165192
2018-03-16,12098.959889519718,12024.716391561995,12024.716391561995,12037.741514135192,478268800,12037.741514135192
2018-03-19,11986.785081466052,11870.531481467655,11986.785081466052,11907.577004080906,175993800,11907.577004080906
2018-03-20,11958.548844812032,11920.782695907326,11932.785352293302,11938.595931048794,215898400,11938.595931048794
2018-03-21,12039.940256037737,11916.875040505663,11927.048188656006,11989.30680963806,261388100,11989.30680963806
2018-03-22,12073.085386797025,11930.57323460785,12067.347404684888,11940.498474714195,230352600,11940.498474714195
2018-03-23,11952.26968618174,11757.623278514939,11921.182448169804,11772.9350497396,213911900,11772.9350497396
2018-03-26,11963.836799703113,11850.484612082004,11946.152148169791,11918.417410736052,213984100,11918.417410736052
2018-03-27,11932.678288395855,11780.719448529884,11886.32180722335,11815.195816007174,212058200,11815.195816007174
2018-03-28,11790.477288005095,11727.391422788944,11764.701251315035,11742.408483256544,214705000,11742.408483256544
2018-03-29,11942.88817350775,11797.936045838826,11813.688202997873,11924.652742234584,227294100,11924.652742234584
2018-04-02,11880.81476457064,11730.748672376953,11880.81476457064,11774.243910647925,166742600,11774.243910647925
2018-04-03,11891.115436933957,11794.443663318974,11881.041885968405,11854.258136493532,199121700,11854.258136493532
2018-04-04,11901.759938687292,11753.655806528495,11800.462969273547,11889.451170128747,227789600,11889.451170128747
2018-04-05,12037.873054220474,11893.619537209306,11899.414273205795,12025.89048544748,214608900,12025.89048544748
2018-04-06,,,,,200467100,
2018-04-09,12061.486246071168,11979.215738404027,12020.469391405704,11988.42703991756,174468400,11988.42703991756
2018-04-10,12180.824258740206,12111.74045556133,12180.824258740206,12119.125120809987,212896000,12119.125120809987
2018-04-11,12189.782697797109,12120.473727286491,12122.543104112288,12141.242872770197,229950600,12141.242872770197
2018-04-12,12164.46315452161,12121.091579357346,12144.60423260773,12129.27330003804,160611500,12129.27330003804
2018-04-13,,,,,190227600,
2018-04-16,12196.482044563554,12149.37141453118,12174.756909912367,12176.030653274674,188529800,12176.030653274674
2018-04-17,12266.389075458112,12203.084331292515,12212.16230376929,12225.619072118661,167451700,12225.619072118661
2018-04-18,12337.003701096432,12215.191716795123,12215.191716795123,12300.016375463392,230935400,12300.016375463392
2018-04-19,12285.45081629595,12186.752838643655,12272.18519123712,12202.544515068023,191719900,12202.544515068023
2018-04-20,,,,,170639000,
2018-04-23,12131.968211845788,12064.69990369701,12070.539206157451,12108.455135206576,202793400,12108.455135206576
2018-04-24,12158.829571989065,12035.128710477804,12155.553620796321,12071.318793010245,202523700,12071.318793010245
2018-04-25,12105.406925970714,12031.318727625621,12052.508521430507,12083.047782995996,189569500,12083.047782995996
2018-04-26,12166.616184854382,12063.744133733591,12087.985386226323,12150.144000355675,208957600,12150.144000355675
2018-04-27,,,,,111784200,
2018-04-30,12237.636028606366,12163.833308032381,12217.529254745416,12163.833308032381,202543600,12163.833308032381
2018-05-01,12166.412072014464,12105.766547768582,12138.775290048985,12159.328017922411,166611100,12159.328017922411
2018-05-02,12173.187196800356,12126.145116069887,12136.5467725256,12131.579054811564,208381100,12131.579054811564
2018-05-03,12174.450846647896,12099.590379656891,12165.267788418503,12156.241276862003,234870100,12156.241276862003
2018-05-04,,,,,180930100,
2018-05-07,12305.614370203952,12236.742410184374,12236.742410184374,12274.71074247979,204416700,12274.71074247979
2018-05-08,12239.416316532348,12184.719309455493,12218.479522322914,12239.416316532348,239405500,12239.416316532348
2018-05-09,12382.23401820744,12317.95266807742,12375.85239449268,12382.23401820744,249620000,12382.23401820744
2018-05-10,12529.71829107032,12459.160738922441,12474.275134299252,12497.846066008626,230424900,12497.846066008626
2018-05-11,,,,,196733700,
2018-05-14,12579.37497599516,12513.20370986768,12518.672459989915,12566.874975715764,226311000,12566.874975715764
2018-05-15,12532.609103622,12471.391582437325,12505.962476407449,12505.962476407449,224440500,12505.962476407449
2018-05-16,12611.719153664426,12570.176665700768,12600.37507632444,12602.174328892845,201996900,12602.174328892845
2018-05-17,12605.27419817115,12556.970665905837,12563.04740973464,12577.304590479343,208702800,12577.304590479343
2018-05-18,,,,,181368400,
2018-05-22,12670.723957569828,12593.47676646662,12624.297615442143,12597.37813975466,231832700,12597.37813975466
2018-05-23,12585.242053364593,12523.297222165458,12532.413022550749,12571.138433987186,195487800,12571.138433987186
2018-05-24,12552.588318507818,12486.221790898602,12534.036436235478,12507.645068531228,204773800,12507.645068531228
2018-05-25,,,,,182237200,
2018-05-28,12384.291194495105,12317.01792548293,12361.276951812717,12327.94737933543,83342500,12327.94737933543
2018-05-29,12289.792737949248,12190.560345518481,12247.50600694067,12219.953903056772,196780200,12219.953903056772
2018-05-30,12447.6663164291,12362.116073981122,12381.972110438373,12447.511043208664,187813200,12447.511043208664
2018-05-31,12410.596728142846,12345.083651231529,12371.273491296703,12408.356023384144,288780000,12408.356023384144
2018-06-01,,,,,181961200,
2018-06-04,12473.847233351076,12409.470728280761,12430.285019965526,12420.458189813768,172744300,12420.458189813768
2018-06-05,12501.893525901003,12427.544507933466,12443.69752626216,12460.236218470207,188418400,12460.236218470207
2018-06-06,12501.275012882465,12415.146692125878,12458.712493245685,12501.275012882465,185476800,12501.275012882465
2018-06-07,12516.71549411295,12439.83997121787,12479.587012450125,12473.270423911059,202165900,12473.270423911059
2018-06-08,,,,,171122400,
2018-06-11,12546.815154464386,12489.605128775167,12496.3041826882,12522.560503771965,169658600,12522.560503771965
2018-06-12,12516.07666967562,12477.508305881525,12504.552303021066,12514.69389573393,176743900,12514.69389573393
2018-06-13,12580.453489099722,12532.663027956152,12564.189617132295,12537.90441185457,168594800,12537.90441185457
2018-06-14,12466.815452591036,12392.403386041566,12433.574161410474,12449.585018498383,166514200,12449.585018498383
2018-06-15,,,,,448100700,
2018-06-18,12405.610759731819,12302.6670648972,12319.471136377295,12401.295351765391,203500400,12401.295351765391
2018-06-19,12314.290511097655,12248.546031466734,12268.954942986687,12287.631181970839,195318600,12287.631181970839
2018-06-20,12358.153231231498,12305.698204819131,12316.068851593991,12340.49282191933,214355600,12340.49282191933
2018-06-21,12323.95250856089,12257.047118255517,12315.767434561956,12266.057885976255,196887700,12266.057885976255
2018-06-22,,,,,230346100,
2018-06-25,12321.622947537995,12156.780284782339,12319.140709118512,12170.617662385863,255366700,12170.617662385863
2018-06-26,12289.874701015604,12178.83528252922,12208.305567811127,12239.203812159158,249086000,12239.203812159158
2018-06-27,12261.91772042258,12167.089451863885,12244.061866772747,12177.067248961253,233945300,12177.067248961253
2018-06-28,12235.197905473633,12155.681649547434,12194.157114658987,12206.454764468308,212392300,12206.454764468308
2018-06-29,,,,,215940200,
2018-07-03,12438.060467281895,12347.66341908595,12427.636469188228,12374.980714346813,167706400,12374.980714346813
2018-07-04,12429.085783944585,12375.504952514435,12384.714552767606,12409.297518498666,63098400,12409.297518498666
2018-07-05,12432.171959044492,12359.62264014647,12429.12689192347,12383.22191033439,169774100,12383.22191033439
2018-07-06,,,,,141594800,
2018-07-09,12555.395086452945,12495.74718098311,12511.30701835663,12549.141058276005,149277900,12549.141058276005
2018-07-10,12595.14686416426,12539.984417804135,12539.984417804135,12591.265282539996,179453700,12591.265282539996
2018-07-11,12466.115987105142,12410.160518141121,12454.682952494553,12430.756543625752,223771000,12430.756543625752
2018-07-12,12591.605076889504,12494.379054978508,12525.59742624122,12584.237760837106,168849100,12584.237760837106
2018-07-13,,,,,140905500,
2018-07-16,12584.289183374203,12536.102990264462,12584.289183374203,12556.579408898402,152593700,12556.579408898402
