Date,High,Low,Open,Close,Volume,Adj Close
2018-01-02,372.8812344812353,367.9373622217016,369.2193419347001,367.9373622217016,0,367.9373622217016
2018-01-03,371.0550572011166,365.1719837269175,365.56439541943206,369.1098433068938,0,369.1098433068938
2018-01-04,375.30297664273314,368.9102884183928,371.9035737365146,372.1025836002274,0,372.1025836002274
2018-01-05,376.2451990493992,371.6501765009997,373.54481361974086,374.5898305526758,0,374.5898305526758
2018-01-08,376.0062794699184,372.2789052625309,373.85265459626794,374.37316060240715,0,374.37316060240715
2018-01-09,375.52696447701226,370.3258639484077,371.6344169401364,373.4311959191583,0,373.4311959191583
2018-01-10,376.22510657928166,368.77344730662315,375.1668570045354,372.4486135316343,0,372.4486135316343
2018-01-11,369.912236312193,365.02859802039046,369.912236312193,367.732525793324,0,367.732525793324
2018-01-12,374.24252287209174,369.7847400433431,370.22421086863216,372.2681190287929,0,372.2681190287929
2018-01-15,378.7156507475497,373.91397221683775,374.9512810038492,376.4615688050631,0,376.4615688050631
2018-01-16,384.93648204525124,378.97015437861415,379.1556943374225,383.11589355245917,0,383.11589355245917
2018-01-17,388.1065946997445,381.8459381676031,383.54654737689646,386.91517211382416,0,386.91517211382416
2018-01-18,388.8562948510433,383.90090165912534,384.4745808632759,388.54747307445564,0,388.54747307445564
2018-01-19,397.21396486504574,391.32903526485046,395.9930602364111,392.22470121905616,0,392.22470121905616
2018-01-22,400.79831313641307,396.63533674051473,398.27916916329457,398.1209847134898,0,398.1209847134898
2018-01-23,404.4161764693071,399.41536970966393,399.4834900959107,403.2220423175408,0,403.2220423175408
2018-01-24,409.53674526226064,404.80246638355663,405.1243029808876,409.53674526226064,0,409.53674526226064
2018-01-25,418.05853833122416,410.8298900627226,416.14170050501303,417.5616458688945,0,417.5616458688945
2018-01-26,417.95190777712475,412.38697339393946,414.74409854690896,413.81116295093915,0,413.81116295093915
2018-01-29,416.6741063331686,406.3340086571699,415.96956971158914,407.78860631216696,0,407.78860631216696
2018-01-30,403.26563407939085,394.7564131234347,403.2153599055058,396.9153391406281,0,396.9153391406281
2018-01-31,401.5659155603813,397.05381146826676,397.4091299701917,398.2276198557151,0,398.2276198557151
2018-02-01,405.6561587734349,398.2261038862487,402.06193952984273,401.8009377239001,0,401.8009377239001
2018-02-02,402.0285506062893,390.60174109500684,399.78965632126904,391.2784587735791,0,391.2784587735791
2018-02-05,383.26987180936834,372.06829769881847,383.26987180936834,374.38489451027044,0,374.38489451027044
2018-02-06,370.47310639925854,356.70596273131423,370.42107104219144,367.1810431462987,0,367.1810431462987
2018-02-07,379.4170725520183,372.13886223759624,376.96666097176,378.05981698643285,0,378.05981698643285
2018-02-08,372.19513657069047,365.80133868258105,371.477058029743,368.1346485829726,0,368.1346485829726
2018-02-09,366.28252324081393,357.61553975508605,366.2248701287891,361.9852355616727,0,361.9852355616727
2018-02-12,374.2941139182109,367.24618878015025,369.22445467382937,371.41488218149357,0,371.41488218149357
2018-02-13,383.758090839107,375.5496843725943,375.5496843725943,380.53259430331025,0,380.53259430331025
2018-02-14,386.0994027972597,376.51681378103734,381.10659714054003,386.0994027972597,0,386.0994027972597
2018-02-15,418.391154356537,395.2596720024621,395.2596720024621,413.93846621433914,0,413.93846621433914
2018-02-16,422.2825686916621,411.66072029431774,419.6288297993989,414.98760271047206,0,414.98760271047206
2018-02-19,415.528057530329,408.8875737264369,413.93875041412423,409.4325606982001,0,409.4325606982001
2018-02-20,406.59699730789066,397.84274656591026,406.567884096163,399.895311651363,0,399.895311651363
2018-02-21,409.6684573036723,397.7529360432253,398.48688934830204,407.6765781245053,0,407.6765781245053
2018-02-22,408.4936054665212,399.0550311702176,408.4936054665212,405.30537604985994,0,405.30537604985994
2018-02-23,415.11423430856854,404.798871038772,404.798871038772,412.386454429814,0,412.386454429814
2018-02-26,422.04698008101616,413.9958392910718,417.7944766766236,413.9958392910718,0,413.9958392910718
2018-02-27,420.44399206533194,412.00038893167743,416.76091794143645,412.00038893167743,0,412.00038893167743
2018-02-28,407.9825237281441,399.9692236585706,407.9825237281441,399.9692236585706,0,399.9692236585706
2018-03-01,397.0355150549914,390.2343659487087,396.818118775374,390.35071421508417,0,390.35071421508417
2018-03-02,389.91138331807343,382.3518446465629,389.91138331807343,383.770069648175,0,383.770069648175
2018-03-05,388.28607644855066,379.2313148669307,382.25541406003924,387.62655085260076,0,387.62655085260076
2018-03-06,405.7446389460386,391.9306880593524,391.9306880593524,402.59055425404824,0,402.59055425404824
2018-03-07,402.6619442418395,391.7415321026527,402.5732730131859,397.5618027220716,0,397.5618027220716
2018-03-08,401.5292468203043,396.62993210913453,398.0439954977874,396.62993210913453,0,396.62993210913453
2018-03-09,400.01345498778,393.04314598117134,394.554779259713,400.01345498778,0,400.01345498778
2018-03-12,408.8459109814483,403.17116310490877,403.17455330960416,403.4675166080382,0,403.4675166080382
2018-03-13,407.67804329838066,400.72910109432297,403.85891402426984,404.73028662560813,0,404.73028662560813
2018-03-14,405.9698589291922,400.1010490644531,405.9698589291922,401.21824449499024,0,401.21824449499024
2018-03-15,404.74807170535956,396.20664718947535,401.37891574445933,396.98539324157406,0,396.98539324157406
2018-03-16,393.68754215426134,387.75918391754914,392.21154733774245,387.75918391754914,0,387.75918391754914
2018-03-19,386.09793157880154,380.5405063827361,383.45198320444916,382.6646116546446,0,382.6646116546446
