Date,High,Low,Close,Open,Volume,Adj Close
2022-06-28,25628.644296045488,25353.90607781064,25430.71744085106,25388.03393783805,374330000.0,25430.71744085106
2022-06-27,25834.641578759332,25282.12862268747,25380.403936487222,25701.026089669835,399280000.0,25380.403936487222
2022-06-24,,,,,417120000.0,
2022-06-23,25256.733571609788,24696.274458317945,24867.394644837048,24965.179111435784,569000000.0,24867.394644837048
2022-06-22,25334.670922284575,24833.07575008691,25172.215823233255,25088.304986208634,399900000.0,25172.215823233255
2022-06-21,25659.880439656692,25354.075900716136,25417.19798523328,25413.659019707207,397450000.0,25417.19798523328
2022-06-20,25325.27060512917,25005.91237646506,25294.72878540221,25139.663032403354,394260000.0,25294.72878540221
2022-06-17,,,,,763370000.0,
2022-06-16,25798.513461808805,25035.775481605102,25041.354767705958,25752.57136302747,496380000.0,25041.354767705958
2022-06-15,25784.790511320938,25243.504186857823,25655.949162777764,25376.486192276756,543700000.0,25655.949162777764
2022-06-14,25304.646827324566,24682.711122614124,24925.789016771632,25241.418594053463,477280000.0,24925.789016771632
2022-06-13,25371.248211140522,24836.024175655108,24967.64039968027,25232.70591376118,595910000.0,24967.64039968027
2022-06-10,,,,,831610000.0,
2022-06-09,28074.131850141563,27468.115025915984,27607.969963447544,27964.38236043855,439660000.0,27607.969963447544
2022-06-08,28626.789147171417,28261.092079903337,28397.013366122785,28595.92230406213,336580000.0,28397.013366122785
2022-06-07,28574.697390807505,28299.293521503838,28489.236816337856,28565.250509578575,364750000.0,28489.236816337856
2022-06-06,28775.03208156545,28451.071545154853,28681.535665905547,28451.071545154853,318400000.0,28681.535665905547
2022-06-03,,,,,397030000.0,
2022-06-02,28719.59002918522,28547.4439040625,28696.023684801694,28638.172179725167,314300000.0,28696.023684801694
2022-06-01,28731.887804322003,28217.31290757565,28271.180369539907,28691.007770390668,506490000.0,28271.180369539907
2022-05-31,29055.860652519266,28670.678006841023,28733.934091195664,28997.273904104604,1010000000.0,28733.934091195664
2022-05-30,29215.55678790944,29036.640607302103,29185.466290382115,29111.527484606948,747600000.0,29185.466290382115
2022-05-27,,,,,386610000.0,
2022-05-26,28756.76966199789,28341.941015738736,28727.737023236412,28416.72823455203,491930000.0,28727.737023236412
2022-05-25,28299.235676295986,27801.389033280513,28252.962633659634,28073.919087163235,530280000.0,28252.962633659634
2022-05-24,28213.721248016565,27893.890885482226,27964.75195476037,28000.74078873315,467470000.0,27964.75195476037
2022-05-23,28128.387112041513,27726.229344366744,28128.387112041513,28019.312713249357,481610000.0,28128.387112041513
2022-05-20,,,,,527360000.0,
2022-05-19,27786.611177262825,27395.78104485409,27786.611177262825,27586.59425128156,500320000.0,27786.611177262825
2022-05-18,27884.15137376457,27517.469336327616,27544.017731635147,27827.73472464359,518550000.0,27544.017731635147
2022-05-17,28164.73711907607,27822.807274792154,27985.782196099826,27883.0777233296,514580000.00000006,27985.782196099826
2022-05-16,27509.43171375036,27194.102102326975,27377.911278939777,27326.655994002886,438250000.0,27377.911278939777
2022-05-13,,,,,526860000.0,
2022-05-12,26825.685661836887,26305.336485933614,26682.87300103634,26399.07448576571,575170000.0,26682.87300103634
2022-05-11,27194.049457188266,26554.333305468335,27194.049457188266,26689.881266296507,577740000.0,27194.049457188266
2022-05-10,26852.11690812491,26462.523483866975,26512.776274694665,26531.925210709072,601320000.0,26512.776274694665
2022-05-09,27148.977901246417,26330.139078212225,26330.139078212225,27018.173315004486,520680000.0,26330.139078212225
2022-05-06,,,,,617530000.0,
2022-05-05,28128.647658704533,27291.455036043033,27349.465764655295,28031.070746369453,671010000.0,27349.465764655295
2022-05-04,28194.00917707917,27744.59340927111,27751.582999306513,28161.217589785432,509020000.0,27751.582999306513
2022-05-03,27883.40660750298,27586.37565815124,27883.40660750298,27680.04800879573,514880000.0,27883.40660750298
2022-05-02,27719.008189957138,26847.891305905196,27432.03732723448,27637.83622146299,498540000.0,27432.03732723448
2022-04-29,,,,,467270000.0,
2022-04-28,27836.30187964746,27385.409032893378,27624.369111421245,27600.829195997227,479500000.0,27624.369111421245
2022-04-27,27571.970262123035,26935.857060886567,27500.311739520006,27381.218631473163,540610000.0,27500.311739520006
2022-04-26,28128.478684347054,27585.36671149063,27585.36671149063,28128.478684347054,553360000.0,27585.36671149063
2022-04-25,28272.140518667817,27844.66500660234,28041.44216973319,28029.56011191373,579790000.0,28041.44216973319
2022-04-22,,,,,585820000.0,
2022-04-21,29585.31653482415,29376.26265975753,29378.10463958345,29433.36403436109,494750000.0,29378.10463958345
2022-04-20,29525.28499410692,29159.98071727214,29471.06819315223,29218.407267830677,463520000.0,29471.06819315223
2022-04-19,29075.658280283766,28709.95232403103,29026.28436004114,28972.052926875644,514830000.00000006,29026.28436004114
2022-04-14,29437.416096110963,29135.975829904022,29350.11236391591,29259.259347615753,511350000.0,29350.11236391591
2022-04-13,29391.589392773956,29146.569130445198,29391.589392773956,29240.06169696573,540570000.0,29391.589392773956
2022-04-12,29287.46590722934,28752.795196545485,29136.10560581255,28895.99258634878,571170000.0,29136.10560581255
2022-04-11,29612.679151915174,29198.000435247668,29367.283250199525,29392.15026696986,496980000.0,29367.283250199525
2022-04-08,,,,,677380000.0,
2022-04-07,29512.537274689723,28799.977536224844,28826.400829771235,29072.141805689123,635840000.0,28826.400829771235
2022-04-06,29742.256530209164,28773.99219166299,29069.050930399673,29638.799611880608,805690000.0,29069.050930399673
2022-04-05,30073.38856786468,29592.971082754302,29702.60255135358,29939.21762410142,657160000.0,29702.60255135358
2022-04-04,30203.030991148902,29825.14297370184,30137.098976835256,30178.335297423964,650800000.0,30137.098976835256
2022-04-01,,,,,788460000.0,
2022-03-31,30663.02311299051,30224.52453541211,30224.52453541211,30631.555472723918,926170000.0,30224.52453541211
2022-03-30,30891.93025943664,30547.007229779552,30833.185521067433,30742.986731259043,1050000000.0,30833.185521067433
2022-03-29,30848.72316563942,30165.031013920907,30643.286102091937,30282.822916246478,934330000.0,30643.286102091937
2022-03-28,30089.038494524055,29516.35820774027,29657.222320822384,29531.650643648896,810770000.0,29657.222320822384
2022-03-25,29659.133015103278,29265.001112781927,29519.53155915661,29374.535409723045,901050000.0,29519.53155915661
