"Date","Price","Open","High","Low","Vol.","Change %"
"07/21/2022","23,269.16","22,955.10","23,389.25","22,762.34","802.28M","-0.63%"
"07/20/2022","23,416.55","23,855.86","23,927.91","23,288.86","582.90M","-1.52%"
"07/19/2022","23,776.96","23,052.54","23,784.19","23,052.01","522.20M","2.41%"
"07/18/2022","23,216.68","22,965.93","23,341.58","22,965.93","474.28M","1.13%"
"07/15/2022","22,956.33","22,568.59","22,995.42","22,468.40","616.82M","1.80%"
"07/14/2022","22,549.96","23,168.77","23,193.28","22,401.43","640.13M","-3.29%"
"07/13/2022","23,317.68","23,466.02","23,484.24","23,055.30","435.27M","-0.93%"
"07/12/2022","23,536.14","23,467.01","23,569.45","23,329.44","552.24M","-0.37%"
"07/11/2022","23,623.76","23,514.15","23,841.92","23,491.42","450.20M","-0.96%"
"07/08/2022","23,852.44","23,588.92","23,906.42","23,526.74","437.01M","1.07%"
"07/07/2022","23,598.82","23,209.15","23,623.67","23,169.40","538.15M","2.94%"
"07/06/2022","22,924.88","22,982.06","23,062.26","22,733.83","454.94M","1.07%"
"07/05/2022","22,681.71","23,501.23","23,501.23","22,677.30","485.34M","-2.91%"
"07/04/2022","23,362.41","23,526.47","23,584.11","23,329.68","373.23M","-0.03%"
"07/01/2022","23,369.13","23,081.16","23,566.36","23,041.61","443.29M","0.26%"
"06/30/2022","23,308.79","23,533.28","23,583.17","23,139.90","599.60M","-2.38%"
"06/29/2022","23,876.28","23,920.60","24,021.36","23,779.04","364.16M","-1.20%"
"06/28/2022","24,165.54","24,124.98","24,353.62","24,092.55","374.33M","0.74%"
"06/27/2022","23,987.02","24,290.04","24,416.32","23,894.14","399.28M","-0.77%"
"06/24/2022","24,173.62","23,733.30","24,219.99","23,633.80","417.12M","2.27%"
"06/23/2022","23,637.95","23,730.90","24,008.04","23,475.29","569.00M","-0.80%"
"06/22/2022","23,828.02","23,748.59","23,981.80","23,506.99","399.90M","-1.26%"
"06/21/2022","24,131.85","24,128.49","24,362.26","24,071.92","397.45M","0.37%"
"06/20/2022","24,042.64","23,895.25","24,071.67","23,768.12","394.26M","0.87%"
"06/17/2022","23,834.34","23,771.13","24,283.20","23,767.37","763.37M","0.38%"
"06/16/2022","23,742.96","24,417.30","24,460.86","23,737.67","496.38M","-3.23%"
"06/15/2022","24,536.58","24,269.31","24,659.80","24,142.13","543.70M","2.78%"
"06/14/2022","23,873.92","24,176.23","24,236.79","23,641.10","477.28M","-0.41%"
"06/13/2022","23,972.43","24,226.93","24,359.95","23,846.06","595.91M","-2.87%"
"06/10/2022","24,680.41","25,833.96","25,835.72","24,673.08","831.61M","-5.07%"
"06/09/2022","25,998.15","26,333.78","26,437.13","25,866.45","439.66M","-1.88%"
"06/08/2022","26,495.55","26,681.14","26,709.94","26,368.73","336.58M","-0.50%"
"06/07/2022","26,628.89","26,699.94","26,708.77","26,451.35","364.75M","-0.74%"
"06/06/2022","26,826.70","26,611.14","26,914.15","26,611.14","318.40M","1.55%"
"06/03/2022","26,417.59","26,838.53","26,847.48","26,364.63","397.03M","-1.03%"
"06/02/2022","26,691.32","26,637.51","26,713.24","26,553.12","314.30M","0.59%"
"06/01/2022","26,535.33","26,929.38","26,967.75","26,484.77","506.49M","-0.87%"
"05/31/2022","26,768.82","27,014.15","27,068.73","26,709.89","1.01B","-1.19%"
"05/30/2022","27,089.95","27,021.32","27,117.88","26,951.81","747.60M","0.80%"
"05/27/2022","26,875.59","26,861.09","26,898.83","26,684.97","386.61M","0.41%"
"05/26/2022","26,765.92","26,476.15","26,792.97","26,406.47","491.93M","1.24%"
"05/25/2022","26,437.71","26,270.17","26,481.01","26,015.15","530.28M","1.50%"
"05/24/2022","26,046.37","26,079.89","26,278.26","25,980.37","467.47M","-1.09%"
"05/23/2022","26,332.39","26,230.28","26,332.39","25,955.91","481.61M","0.18%"
"05/20/2022","26,286.22","26,433.41","26,757.86","26,226.07","527.36M","0.08%"
"05/19/2022","26,265.85","26,076.78","26,265.85","25,896.41","500.32M","-0.13%"
"05/18/2022","26,300.68","26,571.59","26,625.46","26,275.33","518.55M","-0.87%"
"05/17/2022","26,532.20","26,434.83","26,701.86","26,377.69","514.58M","1.16%"
"05/16/2022","26,226.67","26,177.57","26,352.66","26,050.59","438.25M","-0.07%"
"05/13/2022","26,244.58","25,920.21","26,244.58","25,831.09","526.86M","2.09%"
"05/12/2022","25,707.08","25,433.66","25,844.67","25,343.35","575.17M","-0.62%"
"05/11/2022","25,868.34","25,388.75","25,868.34","25,259.81","577.74M","2.77%"
"05/10/2022","25,171.23","25,189.41","25,493.40","25,123.52","601.32M","1.01%"
"05/09/2022","24,920.16","25,571.35","25,695.15","24,920.16","520.68M","-2.80%"
"05/06/2022","25,636.75","25,878.93","25,986.64","25,508.31","617.53M","-1.20%"
"05/05/2022","25,948.90","26,595.60","26,688.18","25,893.86","671.01M","-0.68%"
"05/04/2022","26,125.34","26,510.97","26,541.84","26,118.76","509.02M","-1.35%"
"05/03/2022","26,483.66","26,290.51","26,483.66","26,201.54","514.88M","1.46%"
"05/02/2022","26,103.23","26,299.06","26,376.30","25,547.38","498.54M","-1.55%"
"04/29/2022","26,513.24","26,568.65","26,674.50","26,389.58","467.27M","0.82%"
"04/28/2022","26,298.40","26,275.99","26,500.16","26,070.91","479.50M","0.94%"
"04/27/2022","26,054.07","25,941.24","26,121.96","25,519.30","540.61M","0.53%"
"04/26/2022","25,917.28","26,427.55","26,427.55","25,917.28","553.36M","-0.97%"
"04/25/2022","26,172.20","26,161.11","26,387.52","25,988.54","579.79M","-1.49%"
"04/22/2022","26,568.36","26,736.64","26,889.82","26,548.63","585.82M","-2.01%"
"04/21/2022","27,113.64","27,164.64","27,304.88","27,111.94","494.75M","-0.18%"
"04/20/2022","27,162.60","26,929.73","27,212.57","26,875.88","463.52M","1.01%"
"04/19/2022","26,889.95","26,839.71","26,935.69","26,596.90","514.83M","-0.86%"
"04/14/2022","27,123.32","27,039.36","27,204.00","26,925.43","511.35M","0.56%"
"04/13/2022","26,973.25","26,834.19","26,973.25","26,748.39","540.57M","0.22%"
"04/12/2022","26,912.73","26,690.94","27,052.54","26,558.67","571.17M","-0.31%"
"04/11/2022","26,997.05","27,019.91","27,222.64","26,841.43","496.98M","-0.27%"
"04/08/2022","27,069.64","26,911.57","27,096.29","26,876.52","677.38M","2.03%"
"04/07/2022","26,531.82","26,758.00","27,163.34","26,507.50","635.84M","-0.53%"
"04/06/2022","26,673.18","27,195.97","27,290.90","26,402.44","805.69M","-2.06%"
"04/05/2022","27,234.02","27,450.97","27,573.99","27,133.50","657.16M","-0.81%"
"04/04/2022","27,457.61","27,495.18","27,517.68","27,173.39","650.80M","0.05%"
"04/01/2022","27,443.53","27,335.85","27,578.44","27,225.31","788.46M","0.54%"
"03/31/2022","27,297.28","27,664.89","27,693.31","27,297.28","926.17M","-1.18%"
"03/30/2022","27,623.76","27,542.95","27,676.39","27,367.37","1.05B","-0.01%"
"03/29/2022","27,627.68","27,302.69","27,812.90","27,196.49","934.33M","2.41%"
"03/28/2022","26,976.21","26,861.99","27,368.99","26,848.08","810.77M","0.61%"
"03/25/2022","26,812.59","26,680.89","26,939.39","26,581.40","901.05M","0.66%"
"03/24/2022","26,637.20","26,632.95","26,796.46","26,536.93","1.16B","0.26%"
"03/23/2022","26,569.24","26,935.59","26,935.59","26,486.79","653.15M","-0.94%"
"03/22/2022","26,821.92","26,683.72","26,875.58","26,651.77","535.65M","0.97%"
"03/21/2022","26,563.59","26,447.49","26,776.36","26,447.49","672.31M","0.25%"
"03/18/2022","26,496.03","26,479.85","26,535.23","26,073.80","1.09B","0.41%"
